,Start Time,Duration,Error Type
519,2019-06-12 07:45:13.800,0.1,L1P0
520,2019-06-12 07:45:15.200,0.1,L0P1
521,2019-06-12 07:45:16.500,0.1,L1P0
522,2019-06-12 07:45:17.600,0.2,L0P1
523,2019-06-12 07:45:20.400,0.2,L0P1
524,2019-06-12 07:45:25.200,0.1,L1P0
525,2019-06-12 07:45:25.900,0.2,L0P1
526,2019-06-12 07:45:55.500,0.1,L0P1
527,2019-06-12 07:46:20.400,1.5,L0P1
528,2019-06-12 07:46:23.900,0.1,L1P0
529,2019-06-12 07:46:51.600,0.1,L0P1
530,2019-06-12 07:46:57.600,0.1,L0P1
531,2019-06-12 07:47:00.600,0.1,L0P1
532,2019-06-12 07:47:01.400,0.1,L1P0
533,2019-06-12 07:47:02.100,0.2,L0P1
